,,,,,,,,,,,fårsvingel,5,,,
,,,,,,,,,,,vårfryle,5,,,
51,650098,6626175,635,,,,,,,3,väggmossa,,,0,
,,,,,,,,,,,vårfryle,5,,,
,,,,,,,,,,,fårsvingel,5,,,
,,,,,,,,,,,vitsippa,10,,,
50,650067,6626171,635,tall,95,3,,,,4,blåbär,50,,0,
,,,,gran,3,1,,,skada,,husmossa,50,,,
,,,,,,,,,,,fårsvingel,,,,
49,650032,6626177,625,en,4.5,1,,,,2,ljung,,älg,1,
,,,,en,5.5,1,,,,,fårsvingel,40,,,
,,,,,,,,,,,husmossa,60,,,
48,649996,6626174,625,,,,,,,4,fårsvingel,50,,0,
,,,,,,,,,,,husmossa,50,,,
47,649962,6626174,635,,,,,,,4,väggmossa,40,,0,
,,,,,,,,,,,vårfryle,10,,,
,,,,,,,,,,,fårsvingel,40,,,
,,,,,,,,,,,björnmossa,,,,
46,,,,,,,,,,1,husmossa,50,,0,
,,,,,,,,,,,väggmossa,50,,,
,,,,,,,,,,,björnmossa,,,,
,,,,,,,,,,,vårfryle,,,,
,,,,,,,,,,,fårsvingel,,,,
150,650029,6625966,310,,,,,,,8,maskros,85,,0,
,,,,,,,,,,,gräs,15,,,
149,649996,6625965,310,,,,,,,11,maskros,95,,0,
,,,,,,,,,,,gräs,5,,,
148,649961,6625965,310,,,,,,,3,maskros,70,,0,
,,,,,,,,,,,gräs,10,,,
147,649928,6625964,310,,,,,,,3,maskros,80,,0,
,,,,,,,,,,,gräs,,,,
,,,,,,,,,,,vitklöver,,,,
146,649891,6625967,310,,,,,,,3,maskros,70,,0,
,,,,,,,,,,,gräs,10,,,
145,649856,6625966,310,,,,,,,5,maskros,50,,0,
,,,,,,,,,,,gräs,50,,,
169,649892,6625929,310,,,,,,,5,maskros,90,,0,foto
,,,,,,,,,,,gräs,5,,,
,,,,,,,,,,,blodrot,,,,
170,649927,6625930,310,,,,,,,1,smultron,5,,0,
,,,,,,,,,,,vitklöver,10,,,
,,,,,,,,,,,gräs,5,,,
,,,,,,,,,,,skogsklöver,5,,,
171,649958,6625928,310,,,,,,,4,maskros,50,,0,
,,,,,,,,,,,gräs,30,,,
172,649996,6625929,310,,,,,,,5,maskros,70,,0,
,,,,,,,,,,,gräs,10,,,
,,,,,,,,,,,ärenpris,,,,
191,649964,6625898,310,,,,,,,5,stormåra,30,,0,
,,,,,,,,,,,rölleka,30,,,
,,,,,,,,,,,maskros,10,,,
,,,,,,,,,,,gräs,5,,,
190,649928,6625896,310,,,,,,,5,maskros,50,,0,
,,,,,,,,,,,gräs,10,,,
,,,,,,,,,,,gråfibbla,,,,
33,649930,6626212,635,tall,118,3,,,,7,blåbär,50,,0,
,,,,,,,,,,,väggmossa,25,,,
,,,,,,,,,,,björnmossa,25,,,
34,649960,6626210,625,tall,65,3,,,,5,väggmossa,90,,0,
,,,,en,0.9,1,,,,,lingon,10,,,
,,,,en,1.1,1,,,,,fårsvingel,,,,
,,,,en,2.2,1,,,,,,,,,
,,,,en,3.7,1,,,,,,,,,
,,,,en,2,1,,,,,,,,,
,,,,en,2.8,1,,,,,,,,,
,,,,en,1.9,1,,,,,,,,,
35,649997,6626210,635,tall,32,2,,,,6,husmossa,70,,0,
,,,,,,,,,,,lingon,30,,,
36,650032,6626212,635,,,,,,,5,blåbär,25,,0,foto
,,,,,,,,,,,väggmossa,65,,,
,,,,,,,,,,,lingon,5,,,
,,,,,,,,,,,husmossa,5,,,
37,650065,6626214,635,tall,78,3,,,,2,vitsippa,5,,0,
,,,,gran,32,1,,,skadad,,husmossa,70,,,
,,,,,,,,,,,blåbär,25,,,
38,650097,6626206,640,björk,23,3,,,,5,älggräs,10,,0,
,,,,,,,,,,,vitsippa,,,,
,,,,,,,,,,,gräs,50,,,
,,,,,,,,,,,väggmossa,30,,,
,,,,,,,,,,,humleblomster,10,,,
39,650139,6626208,640,lönn,30,3,,,,0,vitsippa,,,0,dike
,,,,al,73,3,,,,,smultron,,,,
,,,,hassel,1.5,1,,,,,vårfryle,,,,
,,,,hassel,2.2,1,,,,,smörblomma,,,,
,,,,rönn,9,1,,,,,,,,,
40,650170,6626202,640,björk,94,3,,,,5,vitsippa,,,0,foto
,,,,,,,,,,,stjärnmossa,,,,
,,,,,,,,,,,tuvtåtel,,,,
41,650205,6626213,640,rönn,1.2,1,,2,,4,vitsippa,50,,0,
,,,,ask,1.1,1,,,,,vårfryle,50,,,
,,,,rönn,1.6,1,,,,,,,,,
,,,,gran,1.4,1,,,,,,,,,
,,,,tall,110,3,,,,,,,,,
42,650251,6626200,635,,,,,,,5,björnmossa,45,,0,
,,,,,,,,,,,väggmossa,45,,,
,,,,,,,,,,,blåbär,10,,,
67,650556,6626138,310,,,,,,,6,gräs,60,,0,
,,,,,,,,,,,maskros,10,,,
,,,,,,,,,,,rölleka,10,,,
,,,,,,,,,,,vicker,5,,,
,,,,,,,,,,,mossa,15,,,
,,,,,,,,,,,vitklöver,,,,
68,650592,6626139,310,,,,,,,10,maskros,20,,0,
,,,,,,,,,,,gräs,60,,,
,,,,,,,,,,,rölleka,20,,,
,,,,,,,,,,,vildlin,,,,
69,650626,6626140,310,,,,,,,5,maskros,30,,0,
,,,,,,,,,,,gräs,30,,,
,,,,,,,,,,,vitklöver,10,,,
,,,,,,,,,,,rölleka,10,,,
,,,,,,,,,,,stormåra,,,,
,,,,,,,,,,,vildlin,,,,
,,,,,,,,,,,smörblomma,,,,
,,,,,,,,,,,mossa,10,,,
106,utanför,,,,,,,,,,,,,,
107,650174,6626032,635,björk,1.7,1,,,,3,vitsippa,50,,0,
,,,,en,4.5,1,,,,,husmossa,15,,,
,,,,,,,,,,,väggmossa,15,,,
,,,,,,,,,,,blåbär,5,,,
108,650205,6626036,310,gran,11,2,gran,,,3,vitklöver,20,,0,
,,,,gran,2.5,1,,,,,gräs,70,,,
,,,,,,,,,,,smörblomma,10,,,
109,650242,6626036,310,,,,,,,8,gräs,100,,0,sumpigt
,,,,,,,,,,,smörblomma,,,,
110,650277,6626035,310,,,,,,,10,gräs,75,,0,
,,,,,,,,,,,stormåra,10,,,
,,,,,,,,,,,maskros,5,,,
111,650311,6626035,310,,,,,,,7,gräs,95,,0,
,,,,,,,,,,,stormåra,5,,,
112,650346,6626035,310,asp,1.3,1,,11,mycket,8,gräs,50,,0,
,,,,,,,,,,,mossa,50,,,
,,,,,,,,,,,vitklöver,,,,
113,650384,6626039,625,gran,1,1,,,,,lingon,80,,0,
,,,,,,,,,,,husmossa,15,,,
,,,,,,,,,,,fårsvingel,5,,,
114,650420,6626032,635,,,,,,,3,husmossa,35,,0,
,,,,,,,,,,,väggmossa,40,,,
,,,,,,,,,,,vårfryle,10,,,
,,,,,,,,,,,fårsvingel,5,,,
115,650458,6626032,635,björk,0.5,1,,,,6,lingon,30,,0,
,,,,gran,12,2,,,,,fårsvingel,5,,,
,,,,gran,1.5,1,,,,,ängsfryle,5,,,
,,,,,,,,,,,väggmossa,10,,,
,,,,,,,,,,,husmossa,40,,,
,,,,,,,,,,,björnmossa,10,,,
116,650488,6626034,635,,,,,,,2,kammossa,45,,0,
,,,,,,,,,,,väggmossa,45,,,
,,,,,,,,,,,fårsvingel,10,,,
117,650522,6626035,635,björk,0.6,1,,1,,7,fårsvingel,30,,0,
,,,,,,,,,,,blåbär,30,,,
,,,,,,,,,,,hallon,,,,
,,,,,,,,,,,vitsippa,30,,,
118,650562,6626036,310,asp,1.9,1,,20,,2,vitsippa,5,,0,
,,,,asp,0.9,1,,10,,,skogsklöver,5,,,
,,,,asp,0.9,1,,6,,,gräs,5,,,
,,,,slån,1.6,1,,2,,,,,,,
,,,,ek,0.6,1,,4,,,,,,,
,,,,slån,6,2,,3,,,,,,,
,,,,asp,9,2,,10,,,,,,,
,,,,asp,10,2,,12,,,,,,,
,,,,asp,5,2,,7,,,,,,,
,,,,asp,12,2,,10,,,,,,,
